Major Head,Sub-Major Head,Minor Head,Sub-Minor Head,Detailed Head,Object Head,Voucher Head,Scheme,Area,Voted/Charged,row_id,Major Head Code,Sub-Major Head Code,Minor Head Code,Sub-Minor Head Code,Detailed Head Code,Object Head Code,Voucher Head Code,Scheme Code,Area Code,Voted/Charged Code,file_id,level_2_code,level_3_code,level_4_code,level_5_code,level_6_code,level_7_code,level_8_code,level_9_code,level_10_code,budget_for,year
Police,NULL,Forensic Science,NULL,NULL,Materials & Supplies,Others,State Own Priority Scheme-General,General Area,Voted,62,2055,0,116,0,0,19,99,SOPD-G,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__19,2055__0__116__0__0__19__99,2055__0__116__0__0__19__99__sopd-g,2055__0__116__0__0__19__99__sopd-g__ga,2055__0__116__0__0__19__99__sopd-g__ga__v,police,2018-19
Capital Outlay on Police,NULL,State Police,Forensic Science Laboratory,NULL,Major Works,Others,State Own Priority Scheme-Other Development Scheme,General Area,Voted,63,4055,0,207,1713,0,13,99,SOPD-ODS,GA,V,assam-budget-2018-19_police.csv,4055__0,4055__0__207,4055__0__207__1713,4055__0__207__1713__0,4055__0__207__1713__0__13,4055__0__207__1713__0__13__99,4055__0__207__1713__0__13__99__sopd-ods,4055__0__207__1713__0__13__99__sopd-ods__ga,4055__0__207__1713__0__13__99__sopd-ods__ga__v,police,2018-19
Police,NULL,Forensic Science,"Regional Forensic Science Laboratory, Jorhat",NULL,Travel Expenses,Regular,Establishmet Expenditure,General Area,Voted,64,2055,0,116,4825,0,3,1,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__4825,2055__0__116__4825__0,2055__0__116__4825__0__3,2055__0__116__4825__0__3__1,2055__0__116__4825__0__3__1__ee,2055__0__116__4825__0__3__1__ee__ga,2055__0__116__4825__0__3__1__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Materials & Supplies,Consumables used in Laboratories,Establishmet Expenditure,General Area,Voted,65,2055,0,116,0,0,19,10,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__19,2055__0__116__0__0__19__10,2055__0__116__0__0__19__10__ee,2055__0__116__0__0__19__10__ee__ga,2055__0__116__0__0__19__10__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Materials & Supplies,Linen and other room furnishing,Establishmet Expenditure,General Area,Voted,66,2055,0,116,0,0,19,7,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__19,2055__0__116__0__0__19__7,2055__0__116__0__0__19__7__ee,2055__0__116__0__0__19__7__ee__ga,2055__0__116__0__0__19__7__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Purchase of Motor Vehicles,Purchase of Functional Vehicles,Establishmet Expenditure,General Area,Voted,67,2055,0,116,0,0,16,2,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__16,2055__0__116__0__0__16__2,2055__0__116__0__0__16__2__ee,2055__0__116__0__0__16__2__ee__ga,2055__0__116__0__0__16__2__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Purchase of Motor Vehicles,Purchase of Staff Vehicles,Establishmet Expenditure,General Area,Voted,68,2055,0,116,0,0,16,1,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__16,2055__0__116__0__0__16__1,2055__0__116__0__0__16__1__ee,2055__0__116__0__0__16__1__ee__ga,2055__0__116__0__0__16__1__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Minor Works,Normal,Establishmet Expenditure,General Area,Voted,69,2055,0,116,0,0,14,1,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__14,2055__0__116__0__0__14__1,2055__0__116__0__0__14__1__ee,2055__0__116__0__0__14__1__ee__ga,2055__0__116__0__0__14__1__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Office Expenses,Maintenance of Vehicles,Establishmet Expenditure,General Area,Voted,70,2055,0,116,0,0,4,8,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__4,2055__0__116__0__0__4__8,2055__0__116__0__0__4__8__ee,2055__0__116__0__0__4__8__ee__ga,2055__0__116__0__0__4__8__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Travel Expenses,Regular,Establishmet Expenditure,General Area,Voted,71,2055,0,116,0,0,3,1,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__3,2055__0__116__0__0__3__1,2055__0__116__0__0__3__1__ee,2055__0__116__0__0__3__1__ee__ga,2055__0__116__0__0__3__1__ee__ga__v,police,2018-19
Police,NULL,Forensic Science,NULL,NULL,Salaries,Mobile Phone Allowances,Establishmet Expenditure,General Area,Voted,72,2055,0,116,0,0,1,28,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__116,2055__0__116__0,2055__0__116__0__0,2055__0__116__0__0__1,2055__0__116__0__0__1__28,2055__0__116__0__0__1__28__ee,2055__0__116__0__0__1__28__ee__ga,2055__0__116__0__0__1__28__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,73,2055,0,1,172,0,1,2,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__1,2055__0__1__172__0__1__2,2055__0__1__172__0__1__2__ee,2055__0__1__172__0__1__2__ee__ga,2055__0__1__172__0__1__2__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Voted,74,2055,0,1,172,0,1,5,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__1,2055__0__1__172__0__1__5,2055__0__1__172__0__1__5__ee,2055__0__1__172__0__1__5__ee__ga,2055__0__1__172__0__1__5__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,75,2055,0,1,172,0,1,8,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__1,2055__0__1__172__0__1__8,2055__0__1__172__0__1__8__ee,2055__0__1__172__0__1__8__ee__ga,2055__0__1__172__0__1__8__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Salaries,Arrear Salary/DA,Establishmet Expenditure,General Area,Voted,76,2055,0,1,172,0,1,12,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__1,2055__0__1__172__0__1__12,2055__0__1__172__0__1__12__ee,2055__0__1__172__0__1__12__ee__ga,2055__0__1__172__0__1__12__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Salaries,Children Education,Establishmet Expenditure,General Area,Voted,77,2055,0,1,172,0,1,14,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__1,2055__0__1__172__0__1__14,2055__0__1__172__0__1__14__ee,2055__0__1__172__0__1__14__ee__ga,2055__0__1__172__0__1__14__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,78,2055,0,1,172,0,3,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__3,2055__0__1__172__0__3__0,2055__0__1__172__0__3__0__ee,2055__0__1__172__0__3__0__ee__ga,2055__0__1__172__0__3__0__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,79,2055,0,1,172,0,4,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__4,2055__0__1__172__0__4__99,2055__0__1__172__0__4__99__ee,2055__0__1__172__0__4__99__ee__ga,2055__0__1__172__0__4__99__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Secret Service Expenditure,NULL,Establishmet Expenditure,General Area,Voted,80,2055,0,1,172,0,12,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__12,2055__0__1__172__0__12__0,2055__0__1__172__0__12__0__ee,2055__0__1__172__0__12__0__ee__ga,2055__0__1__172__0__12__0__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Head Quarters Establishment,NULL,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,81,2055,0,1,172,0,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__172,2055__0__1__172__0,2055__0__1__172__0__16,2055__0__1__172__0__16__0,2055__0__1__172__0__16__0__ee,2055__0__1__172__0__16__0__ee__ga,2055__0__1__172__0__16__0__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Salaries,Pay,Establishmet Expenditure,General Area,Voted,82,2055,0,1,433,0,1,1,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__1,2055__0__1__433__0__1__1,2055__0__1__433__0__1__1__ee,2055__0__1__433__0__1__1__ee__ga,2055__0__1__433__0__1__1__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,83,2055,0,1,433,0,1,2,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__1,2055__0__1__433__0__1__2,2055__0__1__433__0__1__2__ee,2055__0__1__433__0__1__2__ee__ga,2055__0__1__433__0__1__2__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Salaries,Others,Establishmet Expenditure,General Area,Voted,84,2055,0,1,433,0,1,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__1,2055__0__1__433__0__1__99,2055__0__1__433__0__1__99__ee,2055__0__1__433__0__1__99__ee__ga,2055__0__1__433__0__1__99__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Voted,85,2055,0,1,433,0,1,5,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__1,2055__0__1__433__0__1__5,2055__0__1__433__0__1__5__ee,2055__0__1__433__0__1__5__ee__ga,2055__0__1__433__0__1__5__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,86,2055,0,1,433,0,1,8,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__1,2055__0__1__433__0__1__8,2055__0__1__433__0__1__8__ee,2055__0__1__433__0__1__8__ee__ga,2055__0__1__433__0__1__8__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Salaries,Children Education,Establishmet Expenditure,General Area,Voted,87,2055,0,1,433,0,1,14,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__1,2055__0__1__433__0__1__14,2055__0__1__433__0__1__14__ee,2055__0__1__433__0__1__14__ee__ga,2055__0__1__433__0__1__14__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,88,2055,0,1,433,0,3,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__3,2055__0__1__433__0__3__0,2055__0__1__433__0__3__0__ee,2055__0__1__433__0__3__0__ee__ga,2055__0__1__433__0__3__0__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,89,2055,0,1,433,0,4,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__4,2055__0__1__433__0__4__99,2055__0__1__433__0__4__99__ee,2055__0__1__433__0__4__99__ee__ga,2055__0__1__433__0__4__99__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Secret Service Expenditure,NULL,Establishmet Expenditure,General Area,Voted,90,2055,0,1,433,0,12,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__12,2055__0__1__433__0__12__0,2055__0__1__433__0__12__0__ee,2055__0__1__433__0__12__0__ee__ga,2055__0__1__433__0__12__0__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,Police Range,NULL,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,91,2055,0,1,433,0,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__433,2055__0__1__433__0,2055__0__1__433__0__16,2055__0__1__433__0__16__0,2055__0__1__433__0__16__0__ee,2055__0__1__433__0__16__0__ee__ga,2055__0__1__433__0__16__0__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,General Security Related Expenditure,Headquarters Establishment,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,92,2055,0,1,3191,172,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__3191,2055__0__1__3191__172,2055__0__1__3191__172__16,2055__0__1__3191__172__16__0,2055__0__1__3191__172__16__0__ee,2055__0__1__3191__172__16__0__ee__ga,2055__0__1__3191__172__16__0__ee__ga__v,police,2018-19
Police,NULL,Direction and Administration,General Security Related Expenditure,Police Range (b,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,93,2055,0,1,3191,433,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__1,2055__0__1__3191,2055__0__1__3191__433,2055__0__1__3191__433__16,2055__0__1__3191__433__16__0,2055__0__1__3191__433__16__0__ee,2055__0__1__3191__433__16__0__ee__ga,2055__0__1__3191__433__16__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Police Training College,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,94,2055,0,3,435,0,1,2,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__435,2055__0__3__435__0,2055__0__3__435__0__1,2055__0__3__435__0__1__2,2055__0__3__435__0__1__2__ee,2055__0__3__435__0__1__2__ee__ga,2055__0__3__435__0__1__2__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Police Training College,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,95,2055,0,3,435,0,1,8,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__435,2055__0__3__435__0,2055__0__3__435__0__1,2055__0__3__435__0__1__8,2055__0__3__435__0__1__8__ee,2055__0__3__435__0__1__8__ee__ga,2055__0__3__435__0__1__8__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Police Training College,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,96,2055,0,3,435,0,3,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__435,2055__0__3__435__0,2055__0__3__435__0__3,2055__0__3__435__0__3__0,2055__0__3__435__0__3__0__ee,2055__0__3__435__0__3__0__ee__ga,2055__0__3__435__0__3__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Police Training College,NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,97,2055,0,3,435,0,4,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__435,2055__0__3__435__0,2055__0__3__435__0__4,2055__0__3__435__0__4__99,2055__0__3__435__0__4__99__ee,2055__0__3__435__0__4__99__ee__ga,2055__0__3__435__0__4__99__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Police Training College,NULL,Minor Works,NULL,Establishmet Expenditure,General Area,Voted,98,2055,0,3,435,0,14,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__435,2055__0__3__435__0,2055__0__3__435__0__14,2055__0__3__435__0__14__0,2055__0__3__435__0__14__0__ee,2055__0__3__435__0__14__0__ee__ga,2055__0__3__435__0__14__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Police Training College,NULL,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,99,2055,0,3,435,0,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__435,2055__0__3__435__0,2055__0__3__435__0__16,2055__0__3__435__0__16__0,2055__0__3__435__0__16__0__ee,2055__0__3__435__0__16__0__ee__ga,2055__0__3__435__0__16__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Armed Police Training Centre,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,100,2055,0,3,436,0,1,2,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__436,2055__0__3__436__0,2055__0__3__436__0__1,2055__0__3__436__0__1__2,2055__0__3__436__0__1__2__ee,2055__0__3__436__0__1__2__ee__ga,2055__0__3__436__0__1__2__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Armed Police Training Centre,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,101,2055,0,3,436,0,1,8,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__436,2055__0__3__436__0,2055__0__3__436__0__1,2055__0__3__436__0__1__8,2055__0__3__436__0__1__8__ee,2055__0__3__436__0__1__8__ee__ga,2055__0__3__436__0__1__8__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Armed Police Training Centre,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,102,2055,0,3,436,0,3,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__436,2055__0__3__436__0,2055__0__3__436__0__3,2055__0__3__436__0__3__0,2055__0__3__436__0__3__0__ee,2055__0__3__436__0__3__0__ee__ga,2055__0__3__436__0__3__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Armed Police Training Centre,NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,103,2055,0,3,436,0,4,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__436,2055__0__3__436__0,2055__0__3__436__0__4,2055__0__3__436__0__4__99,2055__0__3__436__0__4__99__ee,2055__0__3__436__0__4__99__ee__ga,2055__0__3__436__0__4__99__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Armed Police Training Centre,NULL,Minor Works,NULL,Establishmet Expenditure,General Area,Voted,104,2055,0,3,436,0,14,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__436,2055__0__3__436__0,2055__0__3__436__0__14,2055__0__3__436__0__14__0,2055__0__3__436__0__14__0__ee,2055__0__3__436__0__14__0__ee__ga,2055__0__3__436__0__14__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Armed Police Training Centre,NULL,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,105,2055,0,3,436,0,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__436,2055__0__3__436__0,2055__0__3__436__0__16,2055__0__3__436__0__16__0,2055__0__3__436__0__16__0__ee,2055__0__3__436__0__16__0__ee__ga,2055__0__3__436__0__16__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Recruits Training School of Assam,NULL,Salaries,Pay,Establishmet Expenditure,General Area,Voted,106,2055,0,3,437,0,1,1,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__437,2055__0__3__437__0,2055__0__3__437__0__1,2055__0__3__437__0__1__1,2055__0__3__437__0__1__1__ee,2055__0__3__437__0__1__1__ee__ga,2055__0__3__437__0__1__1__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Recruits Training School of Assam,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,107,2055,0,3,437,0,1,2,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__437,2055__0__3__437__0,2055__0__3__437__0__1,2055__0__3__437__0__1__2,2055__0__3__437__0__1__2__ee,2055__0__3__437__0__1__2__ee__ga,2055__0__3__437__0__1__2__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Recruits Training School of Assam,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,108,2055,0,3,437,0,3,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__437,2055__0__3__437__0,2055__0__3__437__0__3,2055__0__3__437__0__3__0,2055__0__3__437__0__3__0__ee,2055__0__3__437__0__3__0__ee__ga,2055__0__3__437__0__3__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Recruits Training School of Assam,NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,109,2055,0,3,437,0,4,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__437,2055__0__3__437__0,2055__0__3__437__0__4,2055__0__3__437__0__4__99,2055__0__3__437__0__4__99__ee,2055__0__3__437__0__4__99__ee__ga,2055__0__3__437__0__4__99__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Recruits Training School of Assam,NULL,Minor Works,NULL,Establishmet Expenditure,General Area,Voted,110,2055,0,3,437,0,14,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__437,2055__0__3__437__0,2055__0__3__437__0__14,2055__0__3__437__0__14__0,2055__0__3__437__0__14__0__ee,2055__0__3__437__0__14__0__ee__ga,2055__0__3__437__0__14__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Recruits Training School of Assam,NULL,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,111,2055,0,3,437,0,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__437,2055__0__3__437__0,2055__0__3__437__0__16,2055__0__3__437__0__16__0,2055__0__3__437__0__16__0__ee,2055__0__3__437__0__16__0__ee__ga,2055__0__3__437__0__16__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Battalion Training Centre,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,112,2055,0,3,439,0,1,2,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__439,2055__0__3__439__0,2055__0__3__439__0__1,2055__0__3__439__0__1__2,2055__0__3__439__0__1__2__ee,2055__0__3__439__0__1__2__ee__ga,2055__0__3__439__0__1__2__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Battalion Training Centre,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,113,2055,0,3,439,0,1,8,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__439,2055__0__3__439__0,2055__0__3__439__0__1,2055__0__3__439__0__1__8,2055__0__3__439__0__1__8__ee,2055__0__3__439__0__1__8__ee__ga,2055__0__3__439__0__1__8__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Battalion Training Centre,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,114,2055,0,3,439,0,3,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__439,2055__0__3__439__0,2055__0__3__439__0__3,2055__0__3__439__0__3__0,2055__0__3__439__0__3__0__ee,2055__0__3__439__0__3__0__ee__ga,2055__0__3__439__0__3__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Battalion Training Centre,NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,115,2055,0,3,439,0,4,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__439,2055__0__3__439__0,2055__0__3__439__0__4,2055__0__3__439__0__4__99,2055__0__3__439__0__4__99__ee,2055__0__3__439__0__4__99__ee__ga,2055__0__3__439__0__4__99__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Battalion Training Centre,NULL,Minor Works,NULL,Establishmet Expenditure,General Area,Voted,116,2055,0,3,439,0,14,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__439,2055__0__3__439__0,2055__0__3__439__0__14,2055__0__3__439__0__14__0,2055__0__3__439__0__14__0__ee,2055__0__3__439__0__14__0__ee__ga,2055__0__3__439__0__14__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Battalion Training Centre,NULL,Purchase of Motor Vehicles,NULL,Establishmet Expenditure,General Area,Voted,117,2055,0,3,439,0,16,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__439,2055__0__3__439__0,2055__0__3__439__0__16,2055__0__3__439__0__16__0,2055__0__3__439__0__16__0__ee,2055__0__3__439__0__16__0__ee__ga,2055__0__3__439__0__16__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Assam Police Academy (Training),NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Voted,118,2055,0,3,440,0,1,5,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__440,2055__0__3__440__0,2055__0__3__440__0__1,2055__0__3__440__0__1__5,2055__0__3__440__0__1__5__ee,2055__0__3__440__0__1__5__ee__ga,2055__0__3__440__0__1__5__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Assam Police Academy (Training),NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,119,2055,0,3,440,0,3,0,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__440,2055__0__3__440__0,2055__0__3__440__0__3,2055__0__3__440__0__3__0,2055__0__3__440__0__3__0__ee,2055__0__3__440__0__3__0__ee__ga,2055__0__3__440__0__3__0__ee__ga__v,police,2018-19
Police,NULL,Education and Training,Assam Police Academy (Training),NULL,Office Expenses,Others,Establishmet Expenditure,General Area,Voted,120,2055,0,3,440,0,4,99,EE,GA,V,assam-budget-2018-19_police.csv,2055__0,2055__0__3,2055__0__3__440,2055__0__3__440__0,2055__0__3__440__0__4,2055__0__3__440__0__4__99,2055__0__3__440__0__4__99__ee,2055__0__3__440__0__4__99__ee__ga,2055__0__3__440__0__4__99__ee__ga__v,police,2018-19
